Designator,Mid X,Mid Y,Rotation,Layer
B1,94.5,-91.0,270.0,bottom
C1,109.4,-62.65,90.0,bottom
C10,117.7,-89.6,90.0,bottom
C11,105.775,-93.75,90.0,bottom
C12,100.025,-93.75,270.0,bottom
C13,116.9,-96.5,180.0,bottom
C14,98.25,-103.0,270.0,bottom
C15,115.5,-91.95,180.0,bottom
C2,103.5,-81.0,90.0,bottom
C3,101.75,-100.5,0.0,bottom
C4,104.0,-84.4,180.0,top
C5,111.5,-62.65,90.0,bottom
C6,109.3,-71.1,90.0,bottom
C7,98.1,-83.5,270.0,top
C8,100.66,-84.405,0.0,top
C9,119.4,-94.35,90.0,bottom
D1,101.0,-106.75,270.0,bottom
D2,112.0,-101.75,0.0,bottom
D4,107.0,-101.75,180.0,bottom
D5,97.3,-100.5,180.0,bottom
DS1,102.525,-79.35,270.0,bottom
J1,109.535614,-107.555,0.0,bottom
J2,120.95,-74.0,270.0,bottom
Q1,102.3125,-89.65,180.0,bottom
Q2,97.2,-98.5,180.0,bottom
R1,114.4,-94.35,90.0,bottom
R10,98.1,-80.4,270.0,top
R11,102.75,-106.75,270.0,bottom
R13,120.31,-66.905,270.0,top
R14,120.31,-73.405,270.0,top
R15,114.25,-101.0,270.0,bottom
R16,104.75,-101.0,90.0,bottom
R18,112.6,-94.35,270.0,bottom
R19,108.9,-61.2,0.0,top
R2,119.4,-89.6,270.0,bottom
R21,112.6,-91.3,270.0,bottom
R3,99.5625,-89.6,90.0,bottom
R4,105.8125,-88.85,0.0,bottom
R5,105.8125,-90.6,180.0,bottom
R6,120.31,-76.655,90.0,top
R7,99.25,-106.75,270.0,bottom
R8,120.31,-79.905,270.0,top
R9,120.31,-70.155,270.0,top
S1,115.0,-63.9,0.0,bottom
SW1,97.1,-102.0,90.0,top
SW10,118.5,-102.0,90.0,top
SW2,116.4,-90.725,0.0,top
SW3,122.4,-90.725,180.0,top
SW4,102.0,-106.5,180.0,top
SW5,102.1,-96.9,180.0,top
SW6,107.1,-102.0,90.0,top
SW7,104.4,-90.725,0.0,top
SW8,110.4,-90.725,180.0,top
U2,115.2,-89.6,180.0,bottom
U3,105.7,-73.405,90.0,top
U4,105.175,-65.8,90.0,bottom
U5,102.8875,-93.75,180.0,bottom
U6,101.25,-103.25,0.0,bottom
U7,116.9,-94.25,180.0,bottom
